I0,I1,I2
38.000000,28.200001,26.200001
38.000000,28.200001,26.600000
38.000000,29.100000,27.100000
38.000000,34.000000,28.500000
38.000000,31.200001,29.000000
38.000000,33.700001,29.900000
38.000000,35.599998,31.100000
38.000000,36.500000,32.200001
38.000000,36.599998,33.000000
38.000000,37.900002,34.000000
38.000000,43.000000,35.799999
38.000000,41.099998,36.900002
38.000000,43.200001,38.099998
38.000000,46.900002,39.900002
38.000000,44.599998,40.799999
38.000000,47.700001,42.200001
38.000000,48.000000,43.400002
38.000000,50.099998,44.700001
38.000000,50.400002,45.900002
38.000000,52.200001,47.099998
38.000000,51.700001,48.000000
38.000000,55.000000,49.400002
38.000000,54.299999,50.400002
38.000000,56.299999,51.599998
38.000000,57.299999,52.700001
38.000000,59.099998,54.000000
38.000000,63.299999,55.900002
38.000000,59.799999,56.599998
38.000000,60.599998,57.400002
38.000000,61.200001,58.200001
38.000000,62.000000,58.900002
38.000000,62.400002,59.599998
38.000000,62.500000,60.200001
38.000000,64.199997,61.000000
38.000000,65.199997,61.799999
38.000000,64.300003,62.299999
38.000000,65.500000,63.000000
38.000000,65.699997,63.500000
38.000000,66.199997,64.000000
38.000000,65.000000,64.199997
38.000000,66.300003,64.599998
38.000000,66.699997,65.099998
38.000000,67.599998,65.599998
38.000000,67.699997,66.000000
38.000000,69.400002,66.699997
38.000000,66.300003,66.599998
38.000000,66.400002,66.500000
38.000000,68.500000,66.900002
38.000000,68.599998,67.300003
38.000000,69.400002,67.699997
38.000000,69.300003,68.000000
38.000000,69.300003,68.300003
38.000000,69.500000,68.500000
38.000000,69.400002,68.699997
38.000000,69.400002,68.800003
38.000000,69.300003,68.900002
38.000000,69.400002,69.000000
38.000000,69.699997,69.199997
38.000000,71.000000,69.500000
38.000000,69.900002,69.599998
38.000000,70.000000,69.699997
38.000000,70.300003,69.800003
38.000000,69.900002,69.800003
38.000000,69.300003,69.699997
38.000000,69.099998,69.599998
38.000000,68.400002,69.400002
38.000000,66.400002,68.800003
38.000000,66.400002,68.300003
38.000000,65.599998,67.699997
38.000000,63.400002,66.900002
38.000000,62.599998,66.000000
38.000000,61.599998,65.099998
38.000000,60.599998,64.199997
38.000000,59.000000,63.200001
38.000000,57.700001,62.099998
38.000000,55.099998,60.700001
38.000000,56.400002,59.799999
38.000000,52.799999,58.400002
38.000000,49.599998,56.700001
38.000000,50.500000,55.400002
38.000000,48.599998,54.099998
38.000000,47.900002,52.799999
38.000000,45.900002,51.400002
38.000000,45.900002,50.299999
38.000000,44.500000,49.200001
38.000000,43.700001,48.099998
38.000000,42.799999,47.000000
38.000000,42.000000,46.000000
38.000000,40.900002,45.000000
38.000000,40.500000,44.099998
38.000000,40.000000,43.299999
38.000000,38.599998,42.299999
38.000000,39.500000,41.799999
38.000000,39.799999,41.400002
38.000000,38.900002,40.900002
38.000000,39.000000,40.500000
38.000000,38.500000,40.099998
38.000000,38.500000,39.799999
38.000000,38.500000,39.500000
38.000000,37.200001,39.099998
38.000000,38.299999,38.900002
38.000000,38.099998,38.799999
38.000000,38.299999,38.700001
38.000000,38.200001,38.599998
38.000000,37.900002,38.400002
38.000000,38.299999,38.400002
38.000000,38.799999,38.500000
38.000000,38.299999,38.400002
38.000000,37.900002,38.299999
38.000000,38.400002,38.299999
38.000000,38.599998,38.400002
38.000000,38.099998,38.299999
38.000000,38.200001,38.299999
38.000000,39.099998,38.500000
38.000000,38.200001,38.400002
38.000000,38.799999,38.500000
38.000000,39.299999,38.700001
38.000000,36.900002,38.299999
38.000000,37.900002,38.200001
38.000000,38.599998,38.299999
38.000000,38.900002,38.400002
38.000000,39.000000,38.500000
38.000000,38.000000,38.400002
38.000000,38.599998,38.500000
38.000000,38.799999,38.500000
38.000000,38.900002,38.599998
38.000000,38.299999,38.500000
38.000000,38.500000,38.500000
38.000000,41.200001,39.099998
38.000000,37.700001,38.799999
38.000000,39.000000,38.799999
38.000000,38.200001,38.700001
38.000000,40.200001,39.000000
38.000000,38.500000,38.900002
38.000000,37.000000,38.500000
38.000000,38.099998,38.400002
38.000000,39.200001,38.599998
38.000000,38.299999,38.500000
38.000000,38.900002,38.599998
38.000000,38.900002,38.700001
38.000000,39.000000,38.700001
38.000000,39.000000,38.799999
38.000000,39.099998,38.900002
38.000000,38.900002,38.900002
38.000000,38.500000,38.799999
38.000000,38.200001,38.700001
38.000000,39.200001,38.799999
38.000000,38.900002,38.799999
38.000000,40.900002,39.200001
38.000000,39.200001,39.200001
38.000000,35.900002,38.599998
38.000000,37.700001,38.400002
38.000000,38.099998,38.299999
38.000000,38.700001,38.400002
38.000000,38.900002,38.500000
38.000000,39.099998,38.599998
38.000000,40.000000,38.900002
38.000000,39.000000,38.900002
38.000000,39.900002,39.099998
38.000000,39.599998,39.200001
38.000000,39.700001,39.299999
38.000000,39.299999,39.299999
38.000000,39.400002,39.299999
38.000000,39.000000,39.299999
38.000000,38.900002,39.200001
